full_name,hits,homeruns,rbi,runs,stolen_bases,walks,strikeouts,games_played,at_bats,batting_average,on_base_plus_slugging
A.J. Achter,0,0,0,0,0,0,0.0,38,0,0.0,0.0
A.J. Burnett,56,4,19,20,0,20,241.0,436,493,0.09376470588235294,0.2519411764705883
A.J. Cole,3,1,1,1,0,2,10.0,60,26,0.0952,0.41180000000000005
A.J. Ellis,466,44,229,194,2,280,414.0,672,1948,0.20763636363636362,0.5862727272727273
A.J. Griffin,0,0,0,0,0,2,10.0,73,11,0.0,0.12233333333333334
A.J. Hinch,209,32,112,104,13,71,214.0,350,953,0.21242857142857144,0.5998571428571429
A.J. Jimenez,1,0,0,0,0,0,7.0,7,12,0.083,0.166
A.J. Minter,0,0,0,0,0,0,1.0,178,1,0.0,0.0
A.J. Morris,0,0,0,0,0,0,1.0,7,1,0.0,0.0
A.J. Pierzynski,2043,188,909,807,15,308,895.0,2059,7290,0.2803157894736842,0.7304736842105264
A.J. Puk,0,0,0,0,0,0,0.0,30,0,0.0,0.0
A.J. Sager,1,0,2,0,0,0,6.0,101,14,0.025,0.1
A.J. Schugel,0,0,0,0,0,1,1.0,73,3,0.0,0.16666666666666666
AJ Pollock,1032,145,485,575,122,291,736.0,1087,3787,0.2624166666666667,0.7703333333333333
AJ Ramos,0,0,0,0,0,0,0.0,378,0,0.0,0.0
AJ Reed,26,4,12,12,0,22,71.0,62,175,0.07500000000000001,0.23525000000000001
Aaron Altherr,222,37,150,142,21,110,332.0,359,1016,0.16216666666666665,0.5331666666666667
Aaron Ashby,0,0,0,0,0,1,2.0,14,2,0.0,0.333
Aaron Barrett,0,0,0,0,0,0,0.0,93,0,0.0,0.0
Aaron Bates,4,0,2,2,0,1,4.0,5,11,0.364,0.962
Aaron Blair,2,0,0,0,0,1,9.0,16,22,0.524,1.048
Aaron Boone,1017,126,555,519,107,303,707.0,1152,3871,0.24291666666666667,0.6828333333333334
Aaron Brooks,0,0,0,0,0,0,1.0,25,5,0.0,0.0
Aaron Bummer,0,0,0,0,0,0,0.0,280,0,0.0,0.0
Aaron Civale,0,0,0,0,0,1,2.0,31,3,0.0,0.25
Aaron Cook,58,0,19,26,0,21,130.0,254,382,0.1482,0.35950000000000004
Aaron Crow,0,0,0,0,0,0,0.0,254,0,0.0,0.0
Aaron Cunningham,99,7,51,47,4,34,110.0,222,452,0.20839999999999997,0.606
Aaron Fletcher,0,0,0,0,0,0,0.0,4,0,0.0,0.0
Aaron Fultz,5,0,0,2,0,0,3.0,464,19,0.13325,0.2665
Aaron Guiel,239,35,128,151,8,83,218.0,307,970,0.2404,0.7236
Aaron Harang,65,1,21,16,0,5,294.0,388,670,0.09721428571428571,0.21685714285714283
Aaron Heilman,1,0,1,1,0,2,24.0,477,47,0.005,0.022111111111111113
Aaron Hicks,724,109,392,469,71,461,793.0,981,3135,0.22141666666666668,0.6843333333333331
Aaron Hill,1501,162,695,736,74,443,847.0,1559,5646,0.2551538461538462,0.7139230769230769
Aaron Holbert,6,0,2,3,1,3,8.0,23,30,0.111,0.3115
Aaron Judge,1026,315,716,736,53,693,1209.0,993,3564,0.27299999999999996,0.9548888888888888
Aaron Laffey,2,0,0,0,0,0,2.0,135,9,0.14285714285714285,0.2857142857142857
Aaron Ledesma,223,2,76,94,11,44,111.0,284,754,0.28159999999999996,0.6910000000000001
Aaron Loup,0,0,0,0,0,0,0.0,426,1,0.0,0.0
Aaron Miles,793,19,229,347,30,162,294.0,932,2827,0.2797777777777778,0.680888888888889
Aaron Myette,0,0,0,0,0,0,0.0,24,0,0.0,0.0
Aaron Nola,24,0,12,15,0,21,158.0,172,271,0.07328571428571429,0.22285714285714286
Aaron Northcraft,0,0,0,0,0,0,0.0,5,0,0.0,0.0
Aaron Poreda,0,0,0,0,0,0,0.0,40,0,0.0,0.0
Aaron Rakers,0,0,0,0,0,0,0.0,1,0,0.0,0.0
Aaron Rowand,1193,136,536,613,67,261,914.0,1358,4374,0.2712727272727273,0.7572727272727271
Aaron Sanchez,0,0,0,0,0,1,12.0,147,22,0.0,0.016666666666666666
Aaron Scheffer,0,0,0,0,0,0,0.0,4,0,0.0,0.0
Aaron Schunk,22,2,7,14,0,4,31.0,39,94,0.234,0.595
Aaron Sele,9,0,1,5,0,3,13.0,329,58,0.13109090909090912,0.32754545454545453
Aaron Slegers,0,0,0,0,0,0,0.0,29,0,0.0,0.0
Aaron Small,0,0,0,0,0,0,3.0,144,4,0.0,0.0
Aaron Taylor,0,0,0,0,0,0,0.0,5,0,0.0,0.0
Aaron Thompson,0,0,0,0,0,1,0.0,45,0,0.0,0.5
Aaron Whitefield,0,0,0,1,0,0,5.0,8,12,0.0,0.0
Aaron Wilkerson,1,1,2,1,0,0,3.0,14,9,0.111,0.5553333333333333
Abe Alvarez,0,0,0,0,0,0,1.0,1,1,0.0,0.0
Abel De Los Santos,0,0,0,0,0,0,0.0,7,0,0.0,0.0
Abiatal Avelino,5,0,1,1,0,1,6.0,10,18,0.27949999999999997,0.6035
Abraham Almonte,288,24,118,169,27,119,327.0,463,1236,0.21281818181818182,0.6307272727272728
Abraham M. Nunez,63,6,35,42,1,34,74.0,136,302,0.16599999999999998,0.426
Abraham O. Nunez,601,18,209,286,38,250,447.0,1030,2486,0.21383333333333332,0.5689166666666666
Abraham Toro,259,34,134,145,14,87,228.0,365,1179,0.24583333333333335,0.7328333333333333
Adael Amador,6,0,0,1,1,1,6.0,10,35,0.171,0.394
Adalberto Mejía,0,0,0,0,0,0,1.0,40,1,0.0,0.0
Adalberto Mendez,2,0,0,0,0,0,1.0,5,7,0.286,0.572
Adalberto Mondesi,311,38,157,180,133,60,412.0,358,1273,0.21714285714285714,0.6095714285714287
Adam Bernero,1,0,0,2,0,0,9.0,130,16,0.25,0.5
Adam Butler,0,0,0,0,0,0,0.0,8,0,0.0,0.0
Adam Cimber,0,0,0,0,0,0,4.0,182,6,0.0,0.0
Adam Conley,12,0,4,7,0,3,44.0,191,84,0.07816666666666666,0.17049999999999998
Adam Dunn,1631,462,1168,1097,63,1317,2379.0,2001,6883,0.2357857142857143,0.8502142857142859
Adam Duvall,771,195,566,456,22,247,1074.0,1026,3393,0.22454545454545452,0.7406363636363636
Adam Eaton,1016,69,345,596,92,379,792.0,1131,3780,0.21857894736842104,0.6656315789473685
Adam Engel,318,30,123,173,47,76,452.0,528,1419,0.20199999999999999,0.5771428571428572
Adam Everett,668,40,283,334,67,174,455.0,880,2758,0.20854545454545456,0.5466363636363636
Adam Frazier,903,60,339,468,55,282,515.0,1066,3425,0.2607777777777778,0.7094444444444444
Adam Greenberg,0,0,0,0,0,0,1.0,2,1,0.0,0.5
Adam Haseley,98,5,43,49,5,27,96.0,158,379,0.23879999999999998,0.5938
Adam Hyzdu,82,19,61,54,1,41,98.0,221,358,0.2541428571428571,0.7725714285714285
Adam Johnson,0,0,0,0,0,0,0.0,7,2,0.0,0.0
Adam Jones,1939,282,945,963,97,340,1395.0,1823,7009,0.2704285714285714,0.7505714285714286
Adam Kennedy,1488,80,571,682,179,401,839.0,1691,5473,0.2682857142857143,0.7018571428571427
Adam Kolarek,0,0,0,0,0,0,0.0,157,0,0.0,0.0
Adam LaRoche,1452,255,882,752,13,649,1407.0,1605,5593,0.254,0.7808333333333334
Adam Liberatore,0,0,0,1,0,0,2.0,118,3,0.0,0.0
Adam Lind,1247,200,723,588,7,393,945.0,1344,4577,0.28025,0.8066666666666666
Adam Loewen,7,1,4,4,0,3,13.0,64,37,0.13025,0.319
Adam McCreery,0,0,0,0,0,0,0.0,1,0,0.0,0.0
Adam Melhuse,172,24,98,76,1,57,193.0,311,735,0.219,0.62825
Adam Moore,58,7,23,21,2,13,95.0,104,292,0.19255555555555556,0.5614444444444444
Adam Morgan,6,0,2,3,0,2,24.0,216,60,0.11183333333333334,0.2675
Adam Ottavino,2,0,0,1,0,1,17.0,509,24,0.0222,0.058699999999999995
Adam Peterson,0,0,0,0,0,2,9.0,13,13,0.0,0.133
Adam Pettyjohn,0,0,0,0,0,0,2.0,19,3,0.0,0.0
Adam Piatt,129,16,65,62,3,57,149.0,212,521,0.24275,0.72625
Adam Plutko,0,0,0,0,0,0,1.0,88,2,0.0,0.0
Adam Riggs,33,3,10,18,6,16,30.0,61,153,0.20850000000000002,0.59275
Adam Rosales,367,48,179,186,17,135,451.0,653,1621,0.21418181818181817,0.621090909090909
Adam Russell,0,0,0,0,0,0,0.0,85,1,0.0,0.0
Adam Shabala,3,0,4,1,0,1,5.0,6,15,0.2,0.435
Adam Stern,5,1,7,7,2,0,10.0,54,43,0.07075000000000001,0.22775
Adam Wainwright,143,10,75,55,0,27,250.0,466,744,0.1726875,0.4740625
Adam Warren,0,0,0,0,0,0,4.0,322,6,0.0,0.0
Adam Wilk,0,0,0,0,0,0,1.0,6,2,0.0,0.0
Adbert Alzolay,2,0,0,1,0,1,15.0,34,36,0.0325,0.0955
Addison Barger,41,7,28,20,2,14,60.0,69,208,0.197,0.601
Addison Reed,0,0,0,0,0,0,0.0,459,2,0.0,0.0
Addison Russell,480,60,253,256,17,186,532.0,615,1987,0.2412,0.7023999999999999
Adeiny Hechavarría,778,37,273,311,35,163,550.0,922,3071,0.253,0.6472222222222223
Adley Rutschman,407,52,201,222,6,215,290.0,415,1557,0.26033333333333336,0.775
Adolfo Phillips,51,6,21,38,7,38,53.0,104,221,0.119,0.4765
Adolis García,560,122,384,344,61,183,740.0,631,2344,0.18000000000000002,0.5755
Adonis García,239,29,110,104,7,36,151.0,244,896,0.26233333333333336,0.7090000000000001
Adonis Medina,0,0,0,0,0,0,1.0,18,1,0.0,0.0
Adrian Beltré,3166,477,1707,1524,121,848,1732.0,2933,11068,0.2835714285714286,0.8120476190476191
Adrian Brown,293,11,86,166,45,109,161.0,447,1134,0.23722222222222225,0.5875555555555556
Adrian Cardenas,11,0,2,5,0,7,13.0,45,60,0.183,0.552
Adrian Del Castillo,25,4,19,12,1,7,28.0,25,80,0.313,0.893
Adrian Devine,2,0,1,0,0,1,15.0,204,41,0.056833333333333326,0.1386666666666667
Adrian Garrett,51,11,37,30,4,31,85.0,159,273,0.10342857142857143,0.36914285714285716
Adrian Hernandez,0,0,0,0,0,0,3.0,6,4,0.0,0.0
Adrian Houser,4,2,2,2,0,4,47.0,72,64,0.028999999999999998,0.136
Adrian Morejon,0,0,0,0,0,0,1.0,7,2,0.0,0.0
Adrian Nieto,25,2,7,8,0,8,38.0,48,106,0.236,0.636
Adrian Sampson,0,0,0,0,0,0,8.0,48,9,0.0,0.0
Adrián González,2050,317,1202,997,6,782,1401.0,1929,7139,0.27666666666666667,0.8060000000000002
Adrián Sanchez,51,0,16,22,0,6,47.0,106,195,0.25675000000000003,0.59825
Adron Chambers,19,0,9,11,2,8,30.0,84,88,0.25033333333333335,0.6763333333333333
Agustin Montero,0,0,0,0,0,0,0.0,11,0,0.0,0.0
Akeel Morris,0,0,0,0,0,0,0.0,17,0,0.0,0.0
Akeem Bostick,0,0,0,0,0,0,0.0,1,0,0.0,0.0
Akil Baddoo,226,28,103,137,42,119,302.0,340,999,0.20450000000000002,0.63175
Akinori Iwamura,413,16,117,222,32,183,330.0,408,1545,0.2555,0.6947500000000001
Akinori Otsuka,0,0,0,0,0,0,1.0,236,2,0.0,0.0
Al Alburquerque,0,0,0,0,0,0,0.0,244,0,0.0,0.0
Al Autry,0,0,0,0,0,0,1.0,1,2,0.0,0.0
Al Bumbry,1422,54,402,778,254,471,709.0,1496,5053,0.2779285714285714,0.7162857142857144
Al Chambers,25,2,11,15,2,21,34.0,57,120,0.14433333333333334,0.4166666666666667
Al Closter,0,0,0,0,0,0,2.0,20,7,0.0,0.0
Al Cowens,1494,108,717,704,120,389,659.0,1584,5534,0.2610769230769231,0.6923076923076923
Al Downing,38,0,20,11,0,15,113.0,197,302,0.08362499999999999,0.21300000000000002
Al Ferrara,111,14,58,46,0,54,78.0,187,422,0.21850000000000003,0.6719999999999999
Al Fitzmorris,24,0,8,12,0,7,28.0,172,98,0.14279999999999998,0.3518
Al Gallagher,333,11,130,114,7,138,164.0,442,1264,0.2595,0.664
Al Greene,8,3,6,9,0,10,15.0,29,59,0.136,0.562
Al Holland,6,0,3,4,1,4,36.0,341,72,0.09025,0.3285
Al Hrabosky,8,0,6,4,0,4,17.0,430,56,0.07645454545454546,0.20272727272727273
Al Javier,5,0,0,1,0,2,5.0,8,24,0.208,0.477
Al Kaline,561,64,266,290,13,281,242.0,608,2018,0.28040000000000004,0.7988000000000001
Al Leiter,45,0,16,15,0,35,290.0,290,530,0.0794,0.22599999999999998
Al Levine,0,0,0,0,0,0,0.0,382,2,0.0,0.0
Al Martin,1172,132,485,664,173,390,879.0,1232,4242,0.2636363636363636,0.748090909090909
Al McBean,0,0,0,0,0,0,0.0,8,1,0.0,0.0
Al Montreuil,1,0,0,0,0,1,4.0,5,11,0.091,0.258
Al Newman,476,1,156,264,91,236,212.0,854,2107,0.21525,0.5467500000000001
Al Nipper,2,0,0,0,0,0,6.0,22,23,0.087,0.217
Al Oliver,2610,202,1256,1133,76,514,714.0,2235,8578,0.3029375,0.79
Al Olmsted,2,0,1,0,0,0,3.0,5,11,0.182,0.364
Al Osuna,0,0,1,1,0,0,1.0,218,3,0.0,0.0
Al Pardo,17,1,4,6,0,3,31.0,53,129,0.0675,0.16675
Al Pedrique,111,1,36,32,5,29,61.0,174,449,0.22566666666666668,0.5419999999999999
Al Reyes,3,0,0,2,0,1,6.0,317,12,0.13936363636363636,0.3241818181818182
Al Santorini,8,0,3,2,0,4,28.0,94,74,0.10200000000000001,0.2335
Al Severinsen,0,0,0,0,0,0,2.0,76,2,0.0,0.0
Al Spangler,4,1,1,2,0,3,4.0,26,19,0.2715,0.7615000000000001
Al Weis,25,1,12,23,1,9,25.0,86,132,0.1035,0.35150000000000003
Al Woods,538,35,196,233,23,167,180.0,618,1986,0.27214285714285713,0.7309999999999999
Al Yates,13,1,4,5,1,3,7.0,24,47,0.277,0.691
Alan Ashby,1010,90,513,397,7,461,622.0,1370,4123,0.2325294117647059,0.650235294117647
Alan Bannister,811,19,288,430,108,292,318.0,972,3007,0.25283333333333335,0.6509166666666667
Alan Benes,22,0,8,6,0,3,53.0,111,139,0.17475,0.40337500000000004
Alan Busenitz,0,0,0,0,0,0,0.0,28,0,0.0,0.0
Alan Cockrell,2,0,2,0,0,0,4.0,9,8,0.25,0.597
Alan Embree,0,0,0,0,0,1,2.0,736,3,0.0,0.038461538461538464
Alan Foster,32,0,15,16,0,13,64.0,194,260,0.09328571428571429,0.23014285714285715
Alan Fowlkes,3,0,0,2,0,1,10.0,21,26,0.115,0.263
Alan Hargesheimer,5,0,3,2,0,2,12.0,26,27,0.12733333333333333,0.29233333333333333
Alan Johnson,0,0,0,0,0,0,1.0,1,1,0.0,0.0
Alan Knicely,111,12,61,48,1,68,128.0,228,521,0.19475,0.6313749999999999
Alan Mills,0,0,1,0,0,1,3.0,315,5,0.0,0.03571428571428571
Alan Trammell,2365,185,1003,1231,236,850,874.0,2293,8288,0.27680000000000005,0.73675
Alan Trejo,99,9,47,50,6,26,112.0,174,434,0.21575,0.5695
Alan Wiggins,581,5,118,346,242,235,193.0,631,2247,0.27,0.6431428571428571
Alan Zinter,13,3,9,7,0,5,34.0,67,78,0.17099999999999999,0.5535
Alay Soler,1,0,0,0,0,0,6.0,8,11,0.091,0.182
Albert Abreu,0,0,0,0,0,0,0.0,32,0,0.0,0.0
Albert Almora,386,33,163,189,7,86,290.0,600,1491,0.22885714285714284,0.6165714285714285
Albert Belle,1726,381,1239,974,88,683,961.0,1539,5853,0.283,0.8889166666666669
Albert Hall,202,5,53,125,67,89,115.0,375,805,0.15144444444444444,0.4657777777777778
Albert Pujols,3384,703,2218,1914,117,1373,1404.0,3080,11421,0.29104545454545455,0.8992727272727271
Albert Suárez,4,0,2,1,0,0,11.0,72,23,0.06333333333333334,0.15866666666666665
Alberto Arias,0,0,0,0,0,1,5.0,63,6,0.0,0.16666666666666666
Alberto Baldonado,0,0,0,0,0,0,0.0,14,0,0.0,0.0
Alberto Cabrera,0,0,0,0,0,0,0.0,32,0,0.0,0.0
Alberto Callaspo,941,52,369,391,22,350,365.0,1093,3556,0.2579,0.6673
Alberto Castillo,226,12,101,98,3,103,219.0,463,1026,0.18007142857142858,0.4880714285714286
Alberto Gonzalez,227,4,91,97,2,45,130.0,426,950,0.21271428571428572,0.5298571428571429
Alberto Lois,1,0,0,6,1,0,1.0,14,4,0.125,0.5
Alberto Rosario,7,0,2,3,0,2,6.0,23,41,0.092,0.231
Albie Lopez,2,0,0,0,0,2,25.0,250,46,0.02416666666666667,0.0635
Alcides Escobar,1486,45,478,670,178,253,864.0,1554,5750,0.2776923076923077,0.668
Alec Asher,3,0,2,0,0,0,9.0,38,18,0.10600000000000001,0.25375
Alec Bettinger,0,0,0,0,0,0,1.0,4,1,0.0,0.0
Alec Bohm,620,59,336,285,16,160,437.0,599,2238,0.2838,0.757
Alec Burleson,233,30,117,109,13,63,130.0,275,910,0.2336666666666667,0.653
Alec Mills,3,0,0,1,0,0,35.0,68,50,0.0628,0.132
Aledmys Díaz,602,78,294,291,15,156,394.0,705,2327,0.23955555555555558,0.6794444444444444
Alejandro Chacin,0,0,0,0,0,0,0.0,6,0,0.0,0.0
Alejandro De Aza,669,51,258,367,91,225,622.0,838,2575,0.25660000000000005,0.7009
Alejandro Freire,16,1,4,7,0,6,17.0,25,65,0.246,0.657
Alejandro Kirk,362,36,187,139,0,160,180.0,434,1371,0.281,0.7807999999999999
Alejandro Machado,1,0,0,4,0,1,1.0,10,5,0.2,0.733
Alejandro Pena,20,1,7,9,0,3,73.0,486,181,0.1094,0.23486666666666667
Alejandro Sanchez,49,8,21,28,4,1,66.0,109,214,0.18999999999999997,0.5151666666666667
Alejo Lopez,45,1,11,19,3,9,27.0,76,170,0.341,0.8889999999999999
Alek Manoah,0,0,0,0,0,0,1.0,20,1,0.0,0.0
Alek Thomas,192,20,95,109,17,48,177.0,277,850,0.21666666666666667,0.623
Alen Hanson,136,12,55,82,21,26,145.0,261,585,0.2155,0.5575
Alex Arias,470,18,196,203,10,181,211.0,775,1773,0.23663636363636364,0.6263636363636363
Alex Avila,714,105,397,352,8,528,1068.0,1052,3060,0.2234615384615385,0.7333846153846153
Alex Blandino,53,2,16,29,1,31,83.0,135,234,0.228,0.656
Alex Bregman,1132,191,663,694,42,576,646.0,1111,4157,0.26922222222222225,0.8365555555555556
Alex Burnett,0,0,0,0,0,0,0.0,175,0,0.0,0.0
Alex Cabrera,21,5,14,10,0,4,21.0,31,80,0.263,0.799
Alex Call,136,16,65,76,17,80,127.0,205,588,0.26,0.7706666666666667
Alex Castellanos,7,2,4,5,0,0,13.0,24,41,0.17049999999999998,0.5735
Alex Cintron,565,33,222,244,18,112,230.0,680,2056,0.24911111111111112,0.6562222222222222
Alex Claudio,0,0,0,0,0,0,0.0,299,0,0.0,0.0
Alex Cobb,2,0,1,0,0,0,8.0,124,24,0.05840000000000001,0.1612
Alex Cole,493,5,117,286,148,217,296.0,573,1760,0.28085714285714286,0.7175714285714286
Alex Colomé,0,0,0,0,0,0,1.0,397,2,0.0,0.0
Alex Cora,828,35,286,360,47,248,423.0,1273,3408,0.22985714285714284,0.610857142857143
Alex D. Mejia,5,1,3,6,0,2,13.0,29,46,0.109,0.32
Alex De Goti,2,0,1,2,0,1,2.0,2,6,0.333,0.762
Alex Delgado,5,0,1,5,0,3,3.0,26,20,0.25,0.598
Alex Diaz,195,8,75,102,41,33,107.0,366,816,0.217625,0.526875
Alex Dickerson,230,40,132,136,7,81,204.0,339,902,0.23916666666666667,0.6976666666666667
Alex Escobar,100,13,52,53,5,41,112.0,125,388,0.26,0.75225
Alex Fernandez,22,3,14,7,0,9,35.0,67,126,0.16766666666666666,0.5283333333333333
Alex Gonzalez,2627,294,1226,1290,127,692,2333.0,3005,10753,0.23099999999999998,0.6514137931034484
Alex Gordon,1643,190,749,867,113,684,1535.0,1753,6391,0.25007142857142856,0.7330714285714286
Alex Guerrero,52,11,36,25,1,7,63.0,117,232,0.155,0.4245
Alex Hassan,1,0,0,1,0,1,5.0,3,8,0.125,0.347
Alex Hernandez,13,1,5,4,1,0,15.0,27,71,0.14550000000000002,0.34099999999999997
Alex Hinshaw,0,0,0,0,0,0,1.0,90,1,0.0,0.0
Alex Jackson,40,6,24,30,1,26,142.0,124,302,0.15899999999999997,0.45499999999999996
Alex Johnson,813,44,315,313,74,158,356.0,788,2865,0.27585714285714286,0.6805714285714286
Alex Kirilloff,198,27,116,92,2,62,215.0,249,799,0.243,0.705
Alex Lange,0,0,0,0,0,0,0.0,103,0,0.0,0.0
Alex Liddi,36,6,16,15,3,13,73.0,61,173,0.16933333333333334,0.56
Alex Madrid,0,0,0,0,0,1,5.0,11,9,0.0,0.0715
Alex McRae,2,0,0,0,0,0,3.0,15,8,0.111,0.222
Alex Meyer,1,0,0,0,0,0,1.0,15,2,0.25,0.5
Alex Ochoa,597,46,261,320,56,203,288.0,807,2143,0.280625,0.755625
Alex Pacheco,0,0,0,0,0,0,0.0,5,0,0.0,0.0
Alex Pelaez,2,0,0,0,0,0,0.0,3,8,0.25,0.5
Alex Presley,369,29,111,157,30,81,282.0,450,1401,0.25975,0.6603749999999999
Alex Prieto,9,1,4,5,0,3,13.0,24,43,0.17049999999999998,0.4315
Alex Ramirez,86,12,48,38,3,15,78.0,135,332,0.22366666666666668,0.5893333333333334
Alex Reyes,1,0,1,0,0,0,6.0,87,16,0.01775,0.0355
Alex Rios,1778,169,794,885,253,400,1117.0,1691,6419,0.2760833333333333,0.7490833333333334
Alex Rodriguez,3115,696,2086,2021,329,1338,2287.0,2784,10566,0.2832727272727273,0.8814545454545454
Alex Romero,67,2,30,27,6,14,43.0,144,280,0.239,0.6174999999999999
Alex Sanabia,2,0,0,1,0,1,21.0,28,41,0.036,0.10433333333333333
Alex Sanchez,452,6,111,193,122,76,233.0,427,1527,0.28559999999999997,0.6916
Alex Taveras,11,0,4,4,1,2,3.0,35,53,0.18333333333333335,0.48900000000000005
Alex Torres,0,0,0,0,0,0,1.0,148,2,0.0,0.0
Alex Trevino,604,23,244,245,19,205,317.0,939,2429,0.247,0.6421538461538461
Alex Verdugo,784,70,316,409,22,240,480.0,800,2886,0.26275,0.72675
Alex Vesia,0,0,0,0,0,1,3.0,97,3,0.0,0.125
Alex White,6,2,5,3,0,0,18.0,35,41,0.128,0.416
Alex Wilson,0,0,0,0,0,0,0.0,277,0,0.0,0.0
Alex Wimmers,0,0,0,0,0,0,0.0,22,0,0.0,0.0
Alex Wood,23,0,12,8,1,14,171.0,206,276,0.1015,0.24425000000000002
Alex Young,1,0,0,1,0,0,22.0,113,29,0.01,0.02
Alexander Canario,12,2,8,5,1,2,19.0,21,42,0.28700000000000003,0.869
Alexei Ramirez,1387,115,590,601,143,263,650.0,1371,5134,0.27,0.6993333333333334
Alexi Amarista,404,21,169,171,39,109,295.0,702,1750,0.224,0.5782857142857143
Alexi Casilla,419,12,157,225,80,130,246.0,578,1696,0.2162222222222222,0.5658888888888889
Alexi Ogando,3,0,0,1,0,0,3.0,283,6,0.2857142857142857,0.5714285714285714
Alexis Díaz,0,0,0,0,0,0,0.0,131,0,0.0,0.0
Alexis Gomez,41,1,11,20,4,10,33.0,89,158,0.234,0.55125
Alexis Infante,6,0,0,11,1,2,12.0,60,55,0.10075,0.24200000000000002
Alfonso Pulido,0,0,0,0,0,0,0.0,2,0,0.0,0.0
Alfonso Rivas,98,7,43,42,7,42,139.0,167,404,0.26066666666666666,0.7170000000000001
Alfonso Soriano,2095,412,1159,1152,289,496,1803.0,1975,7750,0.253,0.7810625000000001
Alfredo Aceves,0,0,0,0,0,0,1.0,187,2,0.0,0.0
Alfredo Amezaga,348,12,110,173,49,112,223.0,584,1408,0.25133333333333335,0.6386666666666668
Alfredo Figaro,3,0,2,1,0,0,7.0,44,15,0.08333333333333333,0.16666666666666666
Alfredo González,1,0,1,0,0,0,4.0,3,9,0.111,0.222
Alfredo Griffin,1688,24,527,759,192,338,664.0,1962,6780,0.25216666666666665,0.6160555555555558
Alfredo Marte,28,2,13,12,1,11,47.0,71,155,0.22966666666666669,0.6243333333333333
Alfredo Simon,9,0,3,2,0,2,36.0,226,89,0.055499999999999994,0.14116666666666666
Ali Solis,0,0,1,0,0,0,6.0,13,10,0.0,0.0
Ali Sánchez,17,0,4,5,2,5,27.0,38,97,0.25933333333333336,0.7373333333333333
Alika Williams,38,0,11,20,1,12,57.0,83,188,0.2025,0.5295000000000001
Allan Anderson,0,0,0,0,0,0,1.0,85,1,0.0,0.0
Allan Dykstra,4,1,4,3,0,6,12.0,13,31,0.129,0.515
Allan Lewis,4,1,3,29,22,0,1.0,84,18,0.15,0.4583333333333333
Allan Simpson,0,0,0,0,0,0,0.0,45,1,0.0,0.0
Allen Battle,57,1,7,33,13,32,52.0,108,248,0.2315,0.6015
Allen Craig,506,59,296,239,11,143,394.0,534,1831,0.25833333333333336,0.7281666666666666
Allen Córdoba,42,4,15,17,2,18,54.0,100,202,0.208,0.579
Allen Levrault,2,0,1,1,0,1,17.0,56,38,0.02033333333333333,0.048999999999999995
Allen McDill,0,0,0,0,0,0,0.0,13,0,0.0,0.0
Allen Ripley,15,0,5,5,0,1,29.0,70,108,0.13833333333333334,0.30033333333333334
Allen Watson,45,0,19,13,0,9,22.0,122,175,0.22283333333333333,0.5475
Allen Webster,0,0,0,1,0,0,6.0,24,11,0.0,0.0
Alonzo Powell,32,3,16,19,0,16,41.0,71,152,0.20550000000000002,0.6040000000000001
Alvaro Espinoza,630,22,201,252,13,76,324.0,942,2478,0.20466666666666666,0.48583333333333334
Alvin Colina,1,0,1,0,0,0,1.0,2,5,0.2,0.4
Alvin Davis,1189,160,683,568,7,685,558.0,1206,4240,0.2767777777777778,0.8107777777777778
Alvin Morman,0,0,0,0,0,0,0.0,176,1,0.0,0.0
Amalio Carreno,0,0,0,0,0,0,1.0,3,1,0.0,0.0
Amaury Garcia,6,2,2,6,0,3,11.0,10,24,0.25,0.916
Amaury Telemaco,14,0,3,6,0,6,51.0,219,116,0.088,0.25466666666666665
Ambiorix Burgos,0,0,0,0,0,0,0.0,144,0,0.0,0.0
Amed Rosario,958,63,366,449,109,161,729.0,942,3507,0.268875,0.694125
Amir Garrett,1,0,1,1,0,0,7.0,214,21,0.01325,0.0395
Amos Otis,1993,193,1002,1080,340,746,968.0,1931,7147,0.27093333333333336,0.7503333333333334
Anastacio Martinez,0,0,0,0,0,0,0.0,11,0,0.0,0.0
Anderson Garcia,0,0,0,0,0,0,0.0,1,0,0.0,0.0
Anderson Hernandez,155,4,60,69,10,55,107.0,240,643,0.22416666666666665,0.5376666666666667
Anderson Machado,15,0,6,7,4,12,32.0,24,68,0.08933333333333333,0.3016666666666667
Anderson Severino,0,0,0,0,0,0,0.0,6,0,0.0,0.0
Anderson Tejeda,20,3,8,8,5,3,40.0,28,91,0.158,0.4535
Andre David,13,1,5,5,0,7,13.0,38,53,0.225,0.619
Andre Dawson,2774,438,1591,1373,314,589,1509.0,2627,9927,0.27566666666666667,0.7892380952380955
Andre Ethier,1367,162,687,641,29,519,938.0,1455,4800,0.27458333333333335,0.7985833333333333
Andre Jackson,0,0,0,0,0,0,3.0,3,4,0.0,0.0
Andre Lipcius,10,1,4,3,0,3,8.0,13,35,0.286,0.742
Andre Robertson,182,5,54,80,4,26,120.0,254,724,0.25460000000000005,0.6068
Andre Thornton,1342,253,895,792,48,876,851.0,1565,5291,0.23950000000000002,0.7614999999999998
Andrelton Simmons,1169,70,444,501,72,304,461.0,1226,4441,0.25945454545454544,0.6616363636363638
Andres Berumen,0,0,0,0,0,0,1.0,40,1,0.0,0.0
