full_name,hits,homeruns,rbi,runs,stolen_bases,walks,strikeouts,games_played,at_bats,batting_average,on_base_plus_slugging
Todd Dunwoody,213,11,81,98,13,51,234.0,295,915,0.19199999999999998,0.5353333333333333
Todd Erdos,0,0,0,0,0,0,1.0,51,3,0.0,0.0
Todd Frazier,1059,218,640,604,73,438,1085.0,1244,4392,0.22645454545454546,0.7163636363636363
Todd Frohwirth,0,0,0,0,0,0,2.0,142,2,0.0,0.0
Todd Greene,397,71,217,181,5,67,332.0,536,1573,0.24927272727272728,0.7142727272727273
Todd Haney,50,3,12,28,3,18,29.0,101,205,0.20140000000000002,0.5686
Todd Helton,2519,369,1406,1401,37,1335,1175.0,2247,7962,0.30782352941176466,0.9238235294117646
Todd Hollandsworth,871,98,401,451,75,262,701.0,1118,3191,0.27558333333333335,0.7798333333333334
Todd Hundley,883,202,599,495,14,453,988.0,1225,3769,0.21857142857142858,0.7129285714285712
Todd Jones,4,0,0,1,0,1,6.0,932,19,0.0583125,0.191625
Todd Linden,116,8,36,64,8,44,148.0,270,502,0.2202,0.6164
Todd Pratt,404,49,224,194,6,208,454.0,662,1612,0.2506428571428571,0.7359999999999999
Todd Redmond,0,0,0,1,0,1,2.0,60,5,0.0,0.08333333333333333
Todd Ritchie,33,0,6,9,0,7,69.0,168,187,0.1655,0.3838333333333333
Todd Rizzo,0,0,0,0,0,0,0.0,3,0,0.0,0.0
Todd Sears,22,2,11,11,0,7,19.0,40,85,0.29000000000000004,0.76
Todd Self,9,1,4,7,0,3,9.0,21,45,0.2,0.561
Todd Steverson,11,2,6,11,2,6,11.0,31,43,0.131,0.3725
Todd Stottlemyre,50,1,11,23,1,28,93.0,157,242,0.144,0.41885714285714293
Todd Van Poppel,9,0,2,5,0,2,22.0,275,57,0.11242857142857142,0.2492857142857143
Todd Walker,1316,107,545,647,66,421,571.0,1288,4554,0.282,0.75075
Todd Wellemeyer,19,0,6,7,0,2,68.0,199,140,0.09475,0.2535
Todd Williams,1,0,0,0,0,0,2.0,156,4,0.125,0.25
Todd Worrell,2,0,0,1,0,1,20.0,617,27,0.02209090909090909,0.08318181818181819
Todd Zeile,2004,253,1110,986,53,945,1279.0,2158,7573,0.2618125,0.7584375
Tom Barrett,17,0,4,9,0,10,15.0,54,84,0.142,0.4666666666666666
Tom Bolton,0,0,0,0,0,0,5.0,16,14,0.0,0.0
Tom Bradley,48,1,15,12,0,10,117.0,186,332,0.12083333333333333,0.30966666666666665
Tom Brennan,1,0,0,0,0,0,1.0,12,8,0.125,0.25
Tom Brookens,950,71,431,477,86,281,605.0,1336,3865,0.24625,0.6601666666666667
Tom Browning,95,2,32,42,5,25,200.0,322,621,0.15790909090909092,0.3814545454545455
Tom Brunansky,1543,271,919,804,69,770,1187.0,1799,6289,0.23628571428571427,0.7527142857142858
Tom Bruno,2,0,0,0,0,0,5.0,45,17,0.14150000000000001,0.28300000000000003
Tom Burgmeier,11,0,0,6,0,2,16.0,540,46,0.066,0.14954545454545454
Tom Buskey,0,0,0,0,0,0,0.0,8,0,0.0,0.0
Tom Candiotti,35,0,12,11,0,7,71.0,260,299,0.1857777777777778,0.506
Tom Carroll,4,0,0,0,0,1,20.0,28,40,0.077,0.1695
Tom Chism,0,0,0,0,0,0,0.0,6,3,0.0,0.0
Tom Davey,0,0,0,0,0,1,0.0,98,0,0.0,0.25
Tom Dettore,11,0,7,3,0,4,13.0,68,48,0.125,0.2945
Tom Dixon,5,0,1,0,0,1,9.0,62,48,0.275,0.5555
Tom Dodd,3,1,2,1,0,2,2.0,8,13,0.231,0.837
Tom Donohue,65,5,28,31,7,10,92.0,122,325,0.20600000000000002,0.5365
Tom Dukes,1,0,2,1,0,0,8.0,88,14,0.04766666666666666,0.143
Tom Dunbar,52,3,18,19,4,23,32.0,91,225,0.23666666666666666,0.61
Tom Edens,0,0,0,0,0,0,5.0,87,6,0.0,0.0
Tom Egan,164,16,70,62,3,57,263.0,285,766,0.2028,0.542
Tom Evans,26,1,7,17,0,13,25.0,42,102,0.18899999999999997,0.533
Tom Filer,1,0,0,2,0,0,8.0,31,15,0.02766666666666667,0.08333333333333333
Tom Foley,661,32,263,248,32,232,387.0,1108,2708,0.23399999999999999,0.6197692307692306
Tom Fordham,0,0,0,0,0,0,1.0,29,1,0.0,0.0
Tom Funk,0,0,0,0,0,0,1.0,8,1,0.0,0.0
Tom Glavine,246,1,90,93,1,101,329.0,709,1323,0.17936363636363636,0.4425909090909092
Tom Goodwin,1029,24,284,636,369,365,660.0,1288,3846,0.23500000000000001,0.5811428571428571
